date_user,depot_user,collection_user,dataset_user,frequent_users_user,user_info_user
2022-05-06,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-06 23:56:45.829 UTC,query_count:275,count_queries_7_days:854,count_queries_30_days:3885},{user:""yogeshkhangode"",last_queried_at:2022-05-06 18:45:32.348 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:2070}"
2022-05-06,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-06 23:56:45.829 UTC,query_count:275,count_queries_7_days:1116,count_queries_30_days:4160},{user:""yogeshkhangode"",last_queried_at:2022-05-06 18:45:32.348 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1266}"
2022-05-05,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-05 23:58:36.938 UTC,query_count:277,count_queries_7_days:1662,count_queries_30_days:5271},{user:""yogeshkhangode"",last_queried_at:2022-05-05 18:45:23.139 UTC,query_count:1,count_queries_7_days:11,count_queries_30_days:2368}"
2022-04-28,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-28 23:56:18.113 UTC,query_count:269,count_queries_7_days:1098,count_queries_30_days:6086},{user:""yogeshkhangode"",last_queried_at:2022-04-28 18:45:04.787 UTC,query_count:1,count_queries_7_days:967,count_queries_30_days:4949}"
2022-04-29,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-29 23:55:40.895 UTC,query_count:272,count_queries_7_days:1093,count_queries_30_days:6083},{user:""yogeshkhangode"",last_queried_at:2022-04-29 18:45:22.172 UTC,query_count:1,count_queries_7_days:30,count_queries_30_days:4736}"
2022-04-27,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-27 18:45:02.771 UTC,query_count:1,count_queries_7_days:1366,count_queries_30_days:5533},{user:""shubhanshujain"",last_queried_at:2022-04-27 23:58:16.047 UTC,query_count:277,count_queries_7_days:1673,count_queries_30_days:3685}"
2022-05-18,icebase,sys01,cloudevents,"""darpanvyas""","{user:""darpanvyas"",last_queried_at:2022-05-18 09:44:28.617 UTC,query_count:14,count_queries_7_days:975,count_queries_30_days:5143}"
2022-05-02,icebase,sportsproducts,sports_returns_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-02 18:45:57.668 UTC,query_count:1,count_queries_7_days:11,count_queries_30_days:2922},{user:""shubhanshujain"",last_queried_at:2022-05-02 23:55:11.460 UTC,query_count:273,count_queries_7_days:1657,count_queries_30_days:3624}"
2022-05-13,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:1549},{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:1114,count_queries_30_days:2104}"
2022-04-21,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-04-21 18:46:13.123 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1548}"
2022-05-03,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-03 18:46:05.598 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1275},{user:""shubhanshujain"",last_queried_at:2022-05-03 23:58:19.493 UTC,query_count:278,count_queries_7_days:1673,count_queries_30_days:3709}"
2022-05-18,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-18 09:57:32.580 UTC,query_count:114,count_queries_7_days:1490,count_queries_30_days:1517}"
2022-05-02,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-05-02 23:55:11.460 UTC,query_count:273,count_queries_7_days:1220,count_queries_30_days:1790},{user:""yogeshkhangode"",last_queried_at:2022-05-02 18:45:57.668 UTC,query_count:1,count_queries_7_days:1092,count_queries_30_days:5342}"
2022-04-26,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain"",""yogeshkhangode""","{user:""shubhanshujain"",last_queried_at:2022-04-26 23:58:14.052 UTC,query_count:273,count_queries_7_days:1651,count_queries_30_days:4529},{user:""yogeshkhangode"",last_queried_at:2022-04-26 18:46:00.751 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:4144}"
2022-04-15,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-04-15 13:06:01.032 UTC,query_count:2,count_queries_7_days:1368,count_queries_30_days:5342}"
2022-04-25,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-04-25 18:45:58.869 UTC,query_count:2,count_queries_7_days:821,count_queries_30_days:5343},{user:""shubhanshujain"",last_queried_at:2022-04-25 23:57:12.232 UTC,query_count:271,count_queries_7_days:1645,count_queries_30_days:5068}"
2022-05-15,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode"",""shubhanshujain""","{user:""yogeshkhangode"",last_queried_at:2022-05-15 18:46:45.898 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:3974},{user:""shubhanshujain"",last_queried_at:2022-05-15 23:55:59.383 UTC,query_count:277,count_queries_7_days:1391,count_queries_30_days:1976}"
