date_user,depot_user,collection_user,dataset_user,users_user,frequent_users_user,user_info_user
2022-05-14,icebase,sportsproducts,sports_customers_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-14 18:45:56.413 UTC,query_count:1,count_queries_7_days:10,count_queries_30_days:36}"
2022-05-14,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-14 18:45:56.413 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:451}"
2022-05-14,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-14 23:56:09.789 UTC,query_count:282,count_queries_7_days:1399,count_queries_30_days:2117}"
2022-05-14,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-14 23:56:09.789 UTC,query_count:282,count_queries_7_days:1381,count_queries_30_days:1407}"
2022-05-14,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-14 18:45:56.413 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:3188}"
2022-05-14,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-14 18:45:56.413 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:3869}"
2022-05-13,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:1659,count_queries_30_days:1685}"
2022-05-13,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:1479,count_queries_30_days:1920}"
2022-05-13,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:286,count_queries_30_days:1003}"
2022-05-13,icebase,sportsproducts,sports_returns_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:694,count_queries_30_days:5549}"
2022-05-13,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:563,count_queries_30_days:1281}"
2022-05-13,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:5317}"
2022-05-13,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:424,count_queries_30_days:4925}"
2022-05-13,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:1157,count_queries_30_days:2798}"
2022-05-13,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:1933,count_queries_30_days:2501}"
2022-05-13,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:1484,count_queries_30_days:2198}"
2022-05-13,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-13 23:56:05.901 UTC,query_count:279,count_queries_7_days:841,count_queries_30_days:1559}"
2022-05-13,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:427,count_queries_30_days:5970}"
2022-05-13,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:33,count_queries_30_days:5250}"
2022-05-13,icebase,sportsproducts,sports_customers_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-13 18:45:51.950 UTC,query_count:1,count_queries_7_days:285,count_queries_30_days:5895}"
2022-05-12,icebase,sportsproducts,sports_transactions_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:4040}"
2022-05-12,icebase,sportsproducts,sports_returns_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:1921,count_queries_30_days:1947}"
2022-05-12,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:1101,count_queries_30_days:6162}"
2022-05-12,icebase,sportsproducts,sports_products_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:1402}"
2022-05-12,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:7,count_queries_30_days:1436}"
2022-05-12,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:1367,count_queries_30_days:1367}"
2022-05-12,icebase,sportsproducts,sports_transactions_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:881,count_queries_30_days:906}"
2022-05-12,icebase,sportsproducts,sports_productsubcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:1100,count_queries_30_days:1126}"
2022-05-12,icebase,sportsproducts,sports_returns_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:58}"
2022-05-12,icebase,sportsproducts,sports_products_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:283,count_queries_30_days:307}"
2022-05-12,icebase,sys01,cloudevents,"""darpanvyas""","""darpanvyas""","{user:""darpanvyas"",last_queried_at:2022-05-12 06:26:02.169 UTC,query_count:1,count_queries_7_days:8,count_queries_30_days:2491}"
2022-05-12,icebase,sportsproducts,sports_productcategories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:1186,count_queries_30_days:2177}"
2022-05-12,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:1948}"
2022-05-12,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-12 23:57:01.671 UTC,query_count:276,count_queries_7_days:823,count_queries_30_days:847}"
2022-05-12,icebase,sportsproducts,sports_customers_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-12 18:45:47.923 UTC,query_count:1,count_queries_7_days:9,count_queries_30_days:2916}"
2022-05-11,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-11 23:57:51.238 UTC,query_count:275,count_queries_7_days:1097,count_queries_30_days:1121}"
2022-05-11,icebase,sportsproducts,sports_productcategories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-11 18:45:37.486 UTC,query_count:2,count_queries_7_days:1277,count_queries_30_days:1849}"
2022-05-11,icebase,sportsproducts,sports_customers_data_with_ts,"""shubhanshujain""","""shubhanshujain""","{user:""shubhanshujain"",last_queried_at:2022-05-11 23:57:51.238 UTC,query_count:275,count_queries_7_days:1098,count_queries_30_days:1398}"
2022-05-11,icebase,sys01,cloudevents,"""rakeshvishvakarma""","""rakeshvishvakarma""","{user:""rakeshvishvakarma"",last_queried_at:2022-05-11 11:16:09.804 UTC,query_count:3,count_queries_7_days:557,count_queries_30_days:6164}"
2022-05-11,icebase,sportsproducts,sports_salesterritories_data_with_ts,"""yogeshkhangode""","""yogeshkhangode""","{user:""yogeshkhangode"",last_queried_at:2022-05-11 18:45:37.486 UTC,query_count:2,count_queries_7_days:9,count_queries_30_days:5140}"
